strain,day,condition,percent-mutant,strain-condition
_0863,day 0,LDC high light,0.47311828,_0863 LDC high light
_0863,day 0,LDC high light,0.406779661,_0863 LDC high light
_0863,day 0,LDC high light,0.495468278,_0863 LDC high light
_0863,day 0,LDC high light,0.562737643,_0863 LDC high light
_0863,day 2,LDC high light,0.588888889,_0863 LDC high light
_0863,day 2,LDC high light,0.869047619,_0863 LDC high light
_0863,day 2,LDC high light,0.6,_0863 LDC high light
_0863,day 2,LDC high light,0.66,_0863 LDC high light
_0863,day 6,LDC high light,1,_0863 LDC high light
_0863,day 6,LDC high light,1,_0863 LDC high light
_0863,day 6,LDC high light,1,_0863 LDC high light
_0863,day 6,LDC high light,1,_0863 LDC high light
_0863,day 0,CLC,0.544802867,_0863 CLC
_0863,day 0,CLC,0.529411765,_0863 CLC
_0863,day 0,CLC,0.490066225,_0863 CLC
_0863,day 0,CLC,0.490566038,_0863 CLC
_0863,day 2,CLC,0.990041008,_0863 CLC
_0863,day 2,CLC,0.707641196,_0863 CLC
_0863,day 2,CLC,0.529069767,_0863 CLC
_0863,day 2,CLC,0.670967742,_0863 CLC
_0863,day 6,CLC,0.97826087,_0863 CLC
_0863,day 6,CLC,0.888888889,_0863 CLC
_0863,day 6,CLC,0.727272727,_0863 CLC
_0863,day 6,CLC,1,_0863 CLC
_0863,day 0,CLC,0.535816619,_0863 CLC
_0863,day 0,CLC,0.523529412,_0863 CLC
_0863,day 0,CLC,0.537688442,_0863 CLC
_0863,day 0,CLC,0.563829787,_0863 CLC
_0863,day 2,CLC,1,_0863 CLC
_0863,day 2,CLC,0.565333333,_0863 CLC
_0863,day 2,CLC,0.63836478,_0863 CLC
_0863,day 2,CLC,0.743589744,_0863 CLC
_0863,day 6,CLC,1,_0863 CLC
_0863,day 6,CLC,0.75,_0863 CLC
_0863,day 6,CLC,0.846846847,_0863 CLC
_0863,day 6,CLC,0.535714286,_0863 CLC
_0863,day 0,LDC low light,0.507978723,_0863 LDC low light
_0863,day 0,LDC low light,0.506493506,_0863 LDC low light
_0863,day 0,LDC low light,0.547400612,_0863 LDC low light
_0863,day 0,LDC low light,0.535452323,_0863 LDC low light
_0863,day 2,LDC low light,0.575757576,_0863 LDC low light
_0863,day 2,LDC low light,0.588235294,_0863 LDC low light
_0863,day 2,LDC low light,0.512820513,_0863 LDC low light
_0863,day 2,LDC low light,0.568181818,_0863 LDC low light
_0863,day 6,LDC low light,0.506493506,_0863 LDC low light
_0863,day 6,LDC low light,0.481228669,_0863 LDC low light
_0863,day 6,LDC low light,0.571428571,_0863 LDC low light
_0863,day 6,LDC low light,0.585365854,_0863 LDC low light
