strain,day,condition,od
WT,day 0,LDC,0.02
WT,day 0,LDC,0.02
WT,day 0,LDC,0.02
WT,day 2,LDC,0.053
WT,day 2,LDC,0.041
WT,day 2,LDC,0.048
WT,day 6,LDC,0.119
WT,day 6,LDC,0.158
WT,day 6,LDC,0.05
_0863,day 0,LDC,0.02
_0863,day 0,LDC,0.021
_0863,day 0,LDC,0.02
_0863,day 2,LDC,0.055
_0863,day 2,LDC,0.053
_0863,day 2,LDC,0.05
_0863,day 6,LDC,0.139
_0863,day 6,LDC,0.12
_0863,day 6,LDC,0.11
mixed LDC,day 0,LDC,0.02
mixed LDC,day 0,LDC,0.02
mixed LDC,day 0,LDC,0.02
mixed LDC,day 0,LDC,0.02
mixed LDC,day 2,LDC,0.061
mixed LDC,day 2,LDC,0.059
mixed LDC,day 2,LDC,0.062
mixed LDC,day 2,LDC,0.061
mixed LDC,day 6,LDC,0.217
mixed LDC,day 6,LDC,0.21
mixed LDC,day 6,LDC,0.236
mixed LDC,day 6,LDC,0.246
mixed CLC,day 0,CLC,0.02
mixed CLC,day 0,CLC,0.02
mixed CLC,day 0,CLC,0.02
mixed CLC,day 0,CLC,0.02
mixed CLC,day 2,CLC,0.05
mixed CLC,day 2,CLC,0.249
mixed CLC,day 2,CLC,0.256
mixed CLC,day 2,CLC,0.244
mixed CLC,day 6,CLC,0.513
mixed CLC,day 6,CLC,0.652
mixed CLC,day 6,CLC,0.583
mixed CLC,day 6,CLC,0.55
