strain,day,condition,percent-mutant
_1936-_0644,day 0,LDC,0.609929078
_1936-_0644,day 0,LDC,0.567567568
_1936-_0644,day 0,LDC,0.722222222
_1936-_0644,day 2,LDC,0.716666667
_1936-_0644,day 2,LDC,0.444444444
_1936-_0644,day 2,LDC,0.644067797
_1936-_0644,day 6,LDC,0.037433155
_1936-_0644,day 6,LDC,0.117647059
_1936-_0644,day 6,LDC,0.049079755
_2453-_0644,day 0,LDC,0.371794872
_2453-_0644,day 0,LDC,0.504716981
_2453-_0644,day 0,LDC,0.485714286
_2453-_0644,day 2,LDC,0.46
_2453-_0644,day 2,LDC,0.315789474
_2453-_0644,day 2,LDC,0.512820513
_2453-_0644,day 6,LDC,0.25
_2453-_0644,day 6,LDC,0.855555556
_2453-_0644,day 6,LDC,0.967741935
_1936-_0644,day 0,CLC,0.609929078
_1936-_0644,day 0,CLC,0.567567568
_1936-_0644,day 0,CLC,0.722222222
_1936-_0644,day 2,CLC,0.586666667
_1936-_0644,day 2,CLC,0.326086957
_1936-_0644,day 2,CLC,0.616
_1936-_0644,day 6,CLC,0.571428571
_1936-_0644,day 6,CLC,0.516129032
_1936-_0644,day 6,CLC,0.463414634
_2453-_0644,day 0,CLC,0.371794872
_2453-_0644,day 0,CLC,0.504716981
_2453-_0644,day 0,CLC,0.485714286
_2453-_0644,day 2,CLC,0.290322581
_2453-_0644,day 2,CLC,0.378378378
_2453-_0644,day 2,CLC,0.380952381
_2453-_0644,day 6,CLC,0.5
_2453-_0644,day 6,CLC,0.419354839
_2453-_0644,day 6,CLC,0.487179487
