strain,day,condition,percent-mutant
_0863,day 0,LDC,0.56
_0863,day 0,LDC,0.5
_0863,day 0,LDC,0.42
_0863,day 0,LDC,0.46
_0863,day 2,LDC,0.65
_0863,day 2,LDC,0.57
_0863,day 2,LDC,0.89
_0863,day 2,LDC,0.74
_0863,day 6,LDC,0.99
_0863,day 6,LDC,0.94
_0863,day 6,LDC,0.99
_0863,day 6,LDC,1
_0644,day 0,LDC,0.491935484
_0644,day 0,LDC,0.519607843
_0644,day 0,LDC,0.491803279
_0644,day 2,LDC,0.740740741
_0644,day 2,LDC,0.617647059
_0644,day 2,LDC,0.444444444
_0644,day 6,LDC,0.927835052
_0644,day 6,LDC,0.866666667
_0644,day 6,LDC,0.295774648
_2047,day 0,LDC,0.505050505
_2047,day 0,LDC,0.456790123
_2047,day 0,LDC,0.444444444
_2047,day 0,LDC,0.41
_2047,day 2,LDC,0.5
_2047,day 2,LDC,0.434782609
_2047,day 2,LDC,0.485207101
_2047,day 2,LDC,0.3
_2047,day 6,LDC,0.818181818
_2047,day 6,LDC,0.363636364
_2047,day 6,LDC,0.419354839
_2047,day 6,LDC,0.66
_2453,day 0,LDC,0.477272727
_2453,day 0,LDC,0.465517241
_2453,day 0,LDC,0.358974359
_2453,day 0,LDC,0.457446809
_2453,day 2,LDC,0.797101449
_2453,day 2,LDC,0.574074074
_2453,day 2,LDC,0.583333333
_2453,day 2,LDC,0.798479087
_2453,day 6,LDC,0.833333333
_2453,day 6,LDC,0.5
_2453,day 6,LDC,0.471153846
_2453,day 6,LDC,0.391304348
_1936,day 0,LDC,0.764705882
_1936,day 0,LDC,0.544554455
_1936,day 0,LDC,0.595959596
_1936,day 0,LDC,0.495575221
_1936,day 2,LDC,0.877192982
_1936,day 2,LDC,0.72
_1936,day 2,LDC,0.615384615
_1936,day 2,LDC,0.352941176
_1936,day 6,LDC,0.833333333
_1936,day 6,LDC,0.181818182
_1936,day 6,LDC,0.821428571
_1936,day 6,LDC,0.006622517
wt_km,day 0,LDC,0.537037037
wt_km,day 0,LDC,0.494949495
wt_km,day 0,LDC,0.411764706
wt_km,day 0,LDC,0.419047619
wt_km,day 2,LDC,0.509090909
wt_km,day 2,LDC,0.454545455
wt_km,day 2,LDC,0.5
wt_km,day 2,LDC,0.198813056
wt_km,day 6,LDC,0.515151515
wt_km,day 6,LDC,0.5
wt_km,day 6,LDC,0.7
wt_km,day 6,LDC,0.581818182
_0863,day 0,CLC,0.56
_0863,day 0,CLC,0.5
_0863,day 0,CLC,0.42
_0863,day 0,CLC,0.46
_0863,day 2,CLC,0.79
_0863,day 2,CLC,0.56
_0863,day 2,CLC,0.61
_0863,day 2,CLC,0.52
_0863,day 6,CLC,0.64
_0863,day 6,CLC,0.31
_0863,day 6,CLC,0.44
_0863,day 6,CLC,0.44
_0644,day 0,CLC,0.491935484
_0644,day 0,CLC,0.519607843
_0644,day 0,CLC,0.491803279
_0644,day 2,CLC,0.8
_0644,day 2,CLC,0.5
_0644,day 2,CLC,0.568965517
_0644,day 6,CLC,0.909836066
_0644,day 6,CLC,0.928571429
_0644,day 6,CLC,0.777777778
_2047,day 0,CLC,0.505050505
_2047,day 0,CLC,0.456790123
_2047,day 0,CLC,0.444444444
_2047,day 0,CLC,0.41
_2047,day 2,CLC,0.555555556
_2047,day 2,CLC,0.464052288
_2047,day 2,CLC,0.408602151
_2047,day 2,CLC,0.95
_2047,day 6,CLC,0.681818182
_2047,day 6,CLC,0.694915254
_2047,day 6,CLC,0.357142857
_2047,day 6,CLC,0.68
_2453,day 0,CLC,0.477272727
_2453,day 0,CLC,0.465517241
_2453,day 0,CLC,0.358974359
_2453,day 0,CLC,0.457446809
_2453,day 2,CLC,0.797101449
_2453,day 2,CLC,0.574074074
_2453,day 2,CLC,0.583333333
_2453,day 2,CLC,0.798479087
_2453,day 6,CLC,0.833333333
_2453,day 6,CLC,0.5
_2453,day 6,CLC,0.471153846
_2453,day 6,CLC,0.391304348
_1936,day 0,CLC,0.764705882
_1936,day 0,CLC,0.544554455
_1936,day 0,CLC,0.595959596
_1936,day 0,CLC,0.495575221
_1936,day 2,CLC,0.918918919
_1936,day 2,CLC,0.611111111
_1936,day 2,CLC,0.803278689
_1936,day 2,CLC,0.697132616
_1936,day 6,CLC,0.948717949
_1936,day 6,CLC,0.709677419
_1936,day 6,CLC,0.904761905
_1936,day 6,CLC,0.681818182
wt_km,day 0,CLC,0.537037037
wt_km,day 0,CLC,0.494949495
wt_km,day 0,CLC,0.411764706
wt_km,day 0,CLC,0.419047619
wt_km,day 2,CLC,0.75
wt_km,day 2,CLC,0.543478261
wt_km,day 2,CLC,0.285714286
wt_km,day 2,CLC,0.09221902
wt_km,day 6,CLC,0.545454545
wt_km,day 6,CLC,0.458333333
wt_km,day 6,CLC,0.470588235
wt_km,day 6,CLC,0.652173913
